topic_id,topic_label,query_cs,must_include,should_include,must_exclude,notes
T01,Prkna stavební,"prkna","prkna","stavební,smrk,jedle,borovice,suchá,řezivo","palivové,palety,nábytek","Obecný typ – základní řez"
T02,Fošny,"fošny","fošny","stavební,smrk,borovice,dub,tloušťka,délka","palivové,nábytek","Silnější prkna 40mm+"
T03,Hranoly stavební,"hranoly","hranoly","smrk,jedle,KVH,stavební,konstrukční","bukové,truhlářské,palivové","Hranoly pro nosné konstrukce"
T04,Hranoly KVH,"KVH","KVH","hranol,lepený,suché,konstrukční","bukové,palivové",""
T05,Trámy,"trámy","trámy","smrk,dub,suchý,délka,průřez","palivové,nábytek","Trámy pro pergoly/přístřešky"
T06,Latě,"latě","latě","střešní,stavební,smrk","palivové","Střešní a bednící latě"
T07,Krajinky,"krajinky","krajinky","řezivo,smrk,borovice,odřezek,kulatina","obraz,obrazy,krajina,krajiny,malba,malování,výtvarný,akvarel,olejomalba,pastel,ilustrace,grafika,fotografie,foto,plakát,dekorace,dekorativní,rám,rámy","Boční odřezky z kulatiny – vyloučeny krajinky jako výtvarná díla/obrazy"
T08,Palubky,"palubky","palubky","obkladové,profilované,smrk,borovice","podlahové,nábytkové","Vhodné na opláštění chat/přístřešků"
T09,Řezivo smrkové,"smrkové řezivo","smrkové řezivo OR smrk řezivo","stavební,pergola,přístřešek,dřevník","palivové,štípané","Smrk jako nejčastější stavební dřevo"
T10,Řezivo jedlové,"jedlové řezivo","jedlové řezivo OR jedle řezivo","stavební,suché,délka","palivové","Jedle – alternativa ke smrku"
T11,Řezivo borové,"borové řezivo","borové řezivo OR borovice řezivo","stavební,suchá","palivové,impregnované","Borovice pro zahradní prvky"
T12,Řezivo dubové,"dubové řezivo","dubové řezivo OR dub řezivo","suchý,hranoly,trámy","palivové,štípané","Dub pro odolné zahradní konstrukce"
T13,Stavební řezivo obecně,"stavební řezivo","stavební řezivo OR stavební dřevo","suchá,délka,tloušťka","palivové,palety,nábytek","Broad catch-all topic"
T14,Dřevo pergola,"dřevo pergola","pergola OR přístřešek OR zahradní domek","dřevo,hranoly,trámy,latě","kov,hliník,WPC","Přímo cílené na zahradní stavby"
T15,Dřevo dřevník,"dřevo dřevník","dřevník OR přístřešek na dřevo","stavební,hranoly,prkna","hotový výrobek","Materiál pro stavbu dřevníku – korelace s produktem X0005"
T16,Dřevo chata zahrada,"dřevo chata","chata OR chatka OR zahradní stavba","dřevo,řezivo,stavební","kovový,plastový","Materiál pro chaty a zahradní stavby"
T17,Metráž smrkových hranolů,"smrkové hranoly","smrkové hranoly","délka,průřez,ks,m3,cena","palivové","Cíleno na větší zásoby – porovnatelné s BOM"
T18,Suché řezivo skladem,"suché řezivo","suché řezivo OR sušená prkna OR suchá fošna","přírodně sušené,suchý,skladem","čerstvé,vlhké","Prémiový materiál – nižší riziko deformací"
T19,Impregnované řezivo,"impregnované dřevo","impregnované dřevo OR tlakově impregnované","hranoly,latě,prkna","nátěr","Pro venkovní aplikace odolné vůči vlhkosti"
T20,Zbytky řezivo výhodně,"zbytky řezivo","zbytky řezivo OR zbytky dřeva OR koncové zbytky","prkna,hranoly,latě","palivové,štípané","Výhodná akvizice menšího množství materiálu"
T21,OSB desky stavební,"OSB desky","OSB","stavební,bednění,střecha,podlaha surová,deska","krytý osb,obložený osb,obložen osb,krytá osb,opláštěný osb,opláštěn osb,podlaha je osb,podlaha z osb,interiér osb,strop osb,hotový,sestaven,postaven,dřevník krytý,přístřešek krytý,zahradní domek","OSB jako volný stavební materiál – vyloučeno pokud OSB popisuje povrch hotového výrobku"
T22,Překližka stavební,"překližka","překližka","stavební,bednění,vrstvená,tloušťka,m2,ks,deska","nábytek,skříň,skříňka,police,stůl,postel,kuchyň,koupelna,obklad hotový,vestavný","Překližka jako surový stavební materiál – vyloučen nábytek a hotové celky"
T23,Dřevotřísková deska,"dřevotříska","dřevotříska OR dřevotřísková deska OR DTD","stavební,bednění,deska,tloušťka,m2","nábytek,skříň,skříňka,police,stůl,kuchyň,koupelna,laminát podlaha,plovoucí podlaha,hotový,sestaven","DTD jako surový materiál – vyloučen nábytek a hotové celky"
T24,Lamino desky,"lamino desky","lamino OR laminovaná deska OR laminát deska","stavební,deska,tloušťka,m2,ks,surová","podlaha plovoucí,vinylová podlaha,pvc,nábytek,skříň,kuchyň,hotový,sestaven,laminátová podlaha","Laminované desky jako surový stavební materiál – vyloučeny hotové výrobky a podlahové lamináty"
T25,Stavební desky k rozebrání,"desky rozebrání","rozebrání OR k rozebrání OR rozebrat OR demolice","osb,překližka,dřevotříska,lamino,deska,prkna","","Catch-all pro inzeráty nabízející desky/prkna z objektů určených k demolici nebo rozebrání"
